"filename", "language", "Python", "Ruby", "Shell Script", "JSON", "Markdown", "YAML", "JSON with Comments", "comment", "blank", "total"
"/Users/shihanxiong/dev/video_loom/.github/workflows/pytest.yml", "YAML", 0, 0, 0, 0, 0, 27, 0, 2, 5, 34
"/Users/shihanxiong/dev/video_loom/.prettierrc", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"/Users/shihanxiong/dev/video_loom/.vscode_config/settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 10, 123, 0, 133
"/Users/shihanxiong/dev/video_loom/README.md", "Markdown", 0, 0, 0, 0, 98, 0, 0, 0, 43, 141
"/Users/shihanxiong/dev/video_loom/changelog.md", "Markdown", 0, 0, 0, 0, 84, 0, 0, 0, 55, 139
"/Users/shihanxiong/dev/video_loom/src/app.macos.spec", "Ruby", 0, 47, 0, 0, 0, 0, 0, 1, 6, 54
"/Users/shihanxiong/dev/video_loom/src/app.py", "Python", 83, 0, 0, 0, 0, 0, 0, 12, 18, 113
"/Users/shihanxiong/dev/video_loom/src/app.win32.spec", "Ruby", 0, 40, 0, 0, 0, 0, 0, 1, 6, 47
"/Users/shihanxiong/dev/video_loom/src/audio_setting_frame.py", "Python", 87, 0, 0, 0, 0, 0, 0, 7, 21, 115
"/Users/shihanxiong/dev/video_loom/src/audio_utils.py", "Python", 44, 0, 0, 0, 0, 0, 0, 2, 8, 54
"/Users/shihanxiong/dev/video_loom/src/bundle.sh", "Shell Script", 0, 0, 5, 0, 0, 0, 0, 4, 4, 13
"/Users/shihanxiong/dev/video_loom/src/component_interface.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 12, 37
"/Users/shihanxiong/dev/video_loom/src/file_utils.py", "Python", 45, 0, 0, 0, 0, 0, 0, 2, 13, 60
"/Users/shihanxiong/dev/video_loom/src/menu_frame.py", "Python", 140, 0, 0, 0, 0, 0, 0, 12, 29, 181
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_app_logging.py", "Python", 16, 0, 0, 0, 0, 0, 0, 2, 7, 25
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_filepath.py", "Python", 15, 0, 0, 0, 0, 0, 0, 2, 7, 24
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_macos.py", "Python", 42, 0, 0, 0, 0, 0, 0, 10, 13, 65
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_markdown.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_subprocess.py", "Python", 6, 0, 0, 0, 0, 0, 0, 1, 5, 12
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_win32.py", "Python", 27, 0, 0, 0, 0, 0, 0, 4, 7, 38
"/Users/shihanxiong/dev/video_loom/src/settings_frame.py", "Python", 22, 0, 0, 0, 0, 0, 0, 4, 7, 33
